vehicle_category,Peak Hour,Average Traffic
Bus,18.0,12.344051446945338
Gesamt,17.0,485.6118421052632
Gesamt-Kfz,17.0,985.887171561051
Kraftrad,17.0,21.169014084507044
LV <3.5t,17.0,1129.058
Lieferwagen,10.0,95.07179487179488
Lkw,10.0,20.400437636761488
Lkw mit Anhänger,7.0,1.1843971631205674
Person Fahrrad,17.0,79.17880794701986
Pkw,17.0,906.0326594090202
Pkw mit Anhänger,10.0,3.6396396396396398
SV >3.5t,10.0,34.27047146401985
Sattel-Kfz,6.0,5.35678391959799
Sattelzug,6.0,13.073333333333334
Tram,14.0,0.46153846153846156
